mq2_now,mq135_now,mq2_delta,mq135_delta,mq2_mean_window,mq135_mean_window,mq2_max_window,mq135_max_window,label
1.22,0.91,0.19999999999999996,-0.12,1.1108333333333331,0.9484999999999998,1.23,1.06,SAFE
1.13,1.09,0.029999999999999805,0.14000000000000012,1.1858333333333333,0.9375000000000001,1.24,1.09,SAFE
1.1,0.85,-0.10999999999999988,-0.050000000000000044,1.1481666666666668,0.9791666666666666,1.24,1.14,SAFE
1.04,0.76,-0.08999999999999986,-0.33000000000000007,1.0895000000000001,0.8978333333333333,1.13,1.14,SAFE
1.08,0.73,-0.010000000000000009,-0.10999999999999999,1.0608333333333333,0.7874999999999999,1.12,0.85,SAFE
1.07,0.7,0.030000000000000027,-0.08000000000000007,1.0605000000000002,0.7525000000000001,1.1,0.85,SAFE
1.06,0.67,-0.020000000000000018,-0.05999999999999994,1.0771666666666668,0.7038333333333333,1.1,0.74,SAFE
1.02,0.67,-0.050000000000000044,-0.029999999999999916,1.0601666666666667,0.6858333333333333,1.1,0.71,SAFE
1.02,0.98,-0.040000000000000036,0.29999999999999993,1.0366666666666668,0.737,1.08,0.98,SAFE
1.32,1.11,0.22999999999999998,-0.07999999999999985,1.2149999999999996,1.1449999999999998,1.39,1.19,SAFE
0.91,0.66,-0.010000000000000009,0.0,0.9174999999999999,0.6613333333333333,0.94,0.68,SAFE
0.91,0.66,-0.010000000000000009,0.010000000000000009,0.9181666666666666,0.6633333333333333,0.94,0.68,SAFE
0.91,0.66,-0.010000000000000009,0.0,0.9175,0.6636666666666666,0.93,0.68,SAFE
0.91,0.66,0.0,0.0,0.9173333333333333,0.6634999999999999,0.93,0.68,SAFE
0.92,0.66,0.010000000000000009,0.0,0.9178333333333335,0.6634999999999999,0.93,0.68,SAFE
0.92,0.68,0.010000000000000009,0.030000000000000027,0.9183333333333334,0.6634999999999999,0.93,0.68,SAFE
0.92,0.66,0.010000000000000009,0.0,0.9186666666666666,0.6641666666666666,0.93,0.68,SAFE
0.93,0.66,0.0,-0.020000000000000018,0.9198333333333333,0.6643333333333333,0.93,0.68,SAFE
